senseval2.d000.s000.t000	1) the products of human creativity; works of art collectively.
senseval2.d002.s075.t006	4) make an addition by combining numbers.This definition directly corresponds to the meaning of "add" in the sentence, which
senseval2.d002.s075.t007	2) take off or away.This definition best fits the context of the sentence, where "subtract" is used to mean
senseval2.d002.s075.t008	1) gain knowledge or skills
senseval2.d002.s075.t010	2) the fundamental assumptions from which something is begun or developed or calculated or explained.This definition best captures the meaning of "
senseval2.d002.s075.t011	1) of or pertaining to or of the nature of mathematics
senseval2.d002.s075.t013	3) look at, interpret, and say out loud something that is written or printed.This definition best fits the context of
senseval2.d002.s075.t014	1) nonfictional prose forming an independent part of a publication.This definition matches the context of the sentence, where an
senseval2.d002.s075.t015	2) of the immediate past or just previous to the present time.The word "recent" in the given sentence means that
senseval2.d002.s075.t017	3) a university student who is studying a particular field as the principal subject.
senseval2.d002.s076.t000	2) veryIn the sentence, "Most" is used as an intensifier to emphasize the importance of something, indicating
senseval2.d002.s076.t001	1) of great significance or value
senseval2.d002.s076.t002	1) an educational institution
senseval2.d002.s076.t003	2) the educator who has executive authority for a school.
senseval2.d002.s076.t004	1) above average in size or number or quantity or magnitude or extent.In the given sentence, "large" is used
senseval2.d002.s076.t005	2) how much there is or how many there are of something that you can quantify.In the given sentence, "measure
senseval2.d002.s076.t006	1) the power or right to give orders or make decisions
senseval2.d002.s076.t007	2) the body of teachers and administrators at a school.
senseval2.d002.s076.t009	2) some situation or event that is thought about.This definition captures the meaning of "matters" as referring to issues
senseval2.d002.s076.t010	1) a learner who is enrolled in an educational institution.
senseval2.d002.s077.t000	2) applying the mind to learning and understanding a subject (especially by reading)This definition best fits the context of the sentence
senseval2.d002.s077.t001	2) applying the mind to learning and understanding a subject (especially by reading).This definition matches the context of the sentence,
senseval2.d002.s077.t002	3) (of actions or states) slightly short of or not quite accomplished; all but.This definition captures the meaning of
senseval2.d002.s077.t004	3) narrate or give a detailed account of
senseval2.d002.s077.t005	1) (superlative of `good') having the most positive qualities.In this context, "best" is used
senseval2.d002.s077.t006	1) an educational institution
senseval2.d002.s077.t007	2) coming from the outside
senseval2.d002.s077.t008	2) the act of hindering or obstructing or impedingThis definition best fits the context of the sentence, where
senseval2.d002.s077.t009	2) direct or strongly influence the behavior of.In this context, "govern" means to have a significant impact or
senseval2.d002.s077.t010	1) having great power or force or potency or effect.This definition is the most suitable for the sentence as it describes the
senseval2.d002.s077.t011	3) that which is responsible for one's thoughts and feelings; the seat of the faculty of reasonThis definition is the
senseval2.d002.s078.t000	1) the power or right to give orders or make decisions.
senseval2.d002.s078.t002	2) go or occur together.In the sentence, "with that authority, of course" is an idiomatic expression that
senseval2.d002.s078.t003	2) admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion.
senseval2.d002.s079.t000	1) an educational institution
senseval2.d002.s079.t002	2) how a result is obtained or an end is achieved
senseval2.d002.s079.t003	1) bring forth or yield
senseval2.d002.s079.t004	1) a learner who is enrolled in an educational institution
senseval2.d002.s079.t005	1) greater than normal in degree or intensity or amount
senseval2.d002.s079.t006	1) a state of individual psychological well-being based upon a sense of confidence and usefulness and purposeThis definition is more comprehensive
senseval2.d002.s079.t007	1) of high or superior quality or performance.
senseval2.d002.s079.t008	1) associated with academia or an academy.In this sentence, "academic" refers to something related to education or learning,
senseval2.d002.s079.t009	3) the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it.This definition is the
senseval2.d002.s080.t000	2) a statement or assertion of verified information about something that is the case or has happened.
senseval2.d002.s080.t001	3) to walk with a lofty proud gait, often in an attempt to impress others.In this context, "r
senseval2.d002.s080.t002	2) a statement or assertion of verified information about something that is the case or has happened.This definition best captures the meaning
senseval2.d002.s080.t004	2) a single person or thing.In this context, "one" refers to a single individual or entity, rather than
senseval2.d002.s080.t005	10) in truth (often tends to intensify)This definition best fits the context of the sentence, where "so"
senseval2.d002.s081.t000	2) prepare and issue for public distribution or sale.In this context, "publishes" means to make something (in
senseval3.d000.s000.t000	3) someone who serves in the armed forces; a member of a military force.This definition is the most suitable because the
senseval3.d000.s001.t002	2) indistinct or hazy in outline.In this sentence, "bleary" is used to describe Haney
senseval3.d000.s001.t003	1) the organ of sight
senseval3.d000.s002.t000	15) get something; come into possession of.In the sentence, "He had no ready answer" means that he had
senseval3.d000.s002.t001	1) completely prepared or in condition for immediate action or use or progress.In the sentence, "ready" is used to
senseval3.d000.s002.t002	1) a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation.
senseval3.d000.s002.t004	1) the astonishment you feel when something totally unexpected happens to you.
senseval3.d000.s002.t005	3) the manner in which something fitsIn this context, "fit" is used to describe the manner or condition of
senseval3.d000.s003.t000	3) the generic use of the word to refer to any human being
