senseval2.d000.s000.t000	The skillful and imaginative use of language or other media to express ideas and emotions.
senseval3.d000.s030.t001	A proposal or suggestion, typically one made by an employer to a prospective employee or by a seller to a prospective buyer, that
senseval3.d000.s030.t003	To experience (a particular emotion or physical sensation): He began to feel uneasy.
senseval3.d000.s030.t004	Causing anxiety, apprehension, or lack of comfort; not at ease.
senseval3.d000.s031.t000	To obtain or achieve something, especially after an attempt or effort.
senseval3.d000.s031.t002	Became fully aware of (something) as a fact; perceive or understand clearly.
senseval3.d000.s031.t003	To present or hand over (something) to (someone); to provide or supply.
senseval3.d000.s031.t005	Staying in one place or delaying action until a particular time or until something else happens.
senseval3.d000.s031.t006	A response or solution to a question, problem, or situation.
senseval3.d000.s031.t007	Appear or give the impression of being a certain way.
senseval3.d000.s031.t008	A brief closing of one eye, typically as an indication of shared understanding or complicity.
senseval3.d000.s031.t009	Carried on or persisted in an activity or process.
senseval3.d000.s031.t010	To look fixedly or vacantly at someone or something with one's eyes wide open.
senseval3.d000.s032.t001	Lacking physical strength, force, or vigor; not strong or powerful.
senseval3.d000.s032.t002	A spontaneous vocal expression of mirth, typically characterized by a chuckle or a guffaw.
senseval3.d000.s033.t000	To have a particular opinion, belief, or idea about (someone or something) in one's mind.
senseval3.d000.s034.t000	An expression of gratitude or appreciation.
senseval3.d000.s035.t000	(of a mark, line, or color) slightly or barely perceptible.
senseval3.d000.s035.t001	A line or mark made by folding, pressing, or crushing something, especially fabric or paper.
senseval3.d000.s035.t002	Became visible or evident; come into sight.
senseval3.d000.s035.t003	An adult human male.
senseval3.d000.s036.t000	To have a particular opinion, belief, or idea about something; to be of the opinion that something is the case.
senseval3.d000.s036.t001	To accept or consider (something) as true, real, or important.
senseval3.d000.s037.t000	Past tense of mean: to intend (something) or to signify (something).
senseval3.d000.s038.t000	To possess, own, or hold (something).
senseval3.d000.s039.t000	To be struck or come forcibly into contact with something, often causing damage or injury.
senseval3.d000.s039.t001	A large, heavy motor vehicle used for transporting goods or materials, typically with four wheels and a cabin at the front.
senseval3.d000.s040.t000	To give or do (something) back to someone in response to something they have given or done for you.
senseval3.d000.s040.t001	Acts of kindness or assistance done for or shown to someone, especially when they are not expected or required.
senseval3.d000.s041.t000	To perform an action, activity, or task; to carry out or execute.
senseval3.d000.s041.t002	To feel fondness or affection for someone or something.
senseval3.d000.s042.t000	The amount of money that has to be paid or spent to buy something or for a service.
senseval3.d000.s043.t001	Attempt or make an effort to do something, especially in order to discover or test its quality, suitability, or effectiveness.
senseval3.d000.s044.t000	To move one's hand or an object back and forth against a surface, typically to clean, polish, or apply pressure.
senseval3.d000.s044.t001	The part of the head above the eyes and below the hairline, covered by skin and hair.
senseval3.d000.s045.t001	To experience or perceive (a sensation or emotion) through the senses or the mind.
senseval3.d000.s045.t002	Of or resembling wool in texture; soft and fluffy.
senseval3.d000.s046.t001	An ordinary man, especially one regarded with contempt or derision.
senseval3.d000.s046.t002	To go or come from one place to another; to proceed or continue on a course of action.
senseval3.d000.s046.t003	A way out or passage for leaving a place, especially a building or enclosed area.
senseval3.d000.s047.t000	To regard something as likely to happen or to be the case; anticipate.
senseval3.d000.s047.t001	To move or proceed toward or into a place, position, or state: "The train will come to a stop at the
senseval3.d000.s047.t003	Human beings regarded collectively, especially with reference to their number, habits, or organization.
senseval3.d000.s048.t000	To admit that something is true after first denying or resisting it.
senseval3.d000.s048.t001	To be aware of through observation, inquiry, or information; to have knowledge of.
senseval3.d000.s049.t000	To continue to do something, especially something annoying or unpleasant, habitually or repeatedly.
senseval3.d000.s049.t001	To sit on or mount (a horse, bicycle, etc.) for the purpose of traveling or exercising control.
senseval3.d000.s049.t002	Find enjoyable, pleasant, or agreeable; be fond of.
senseval3.d000.s049.t003	To give one's attention to a sound or sounds; direct one's hearing toward a source of sound.
senseval3.d000.s049.t004	A device for transmitting and receiving radio waves, especially one designed for use in a private home, for listening to broadcasts.
senseval3.d000.s049.t005	To make musical sounds with the voice, typically with words and to a melody.
senseval3.d000.s049.t007	A period of time spent washing oneself, typically in a bathtub or shower.
senseval3.d000.s050.t000	To speak or utter words, typically in order to convey information, express thoughts or feelings, or communicate with others.
senseval3.d000.s050.t001	People living near one's home.
senseval3.d000.s050.t002	To express dissatisfaction or annoyance about something, typically in a way that is heard by others.
senseval3.d000.s050.t003	To accept as true, to have confidence in the truth, accuracy, or trustworthiness of.
senseval3.d000.s051.t000	To communicate information, facts, or news to (someone) in spoken or written words.
senseval3.d000.s051.t001	Cause (someone) to feel annoyed, worried, or upset.
senseval3.d000.s052.t000	An adult human male.
senseval3.d000.s052.t001	To have one's eyelids shut.
senseval3.d000.s052.t002	The organs of sight in humans and animals, located in the head, that detect light and convert it into electro-chemical impulses
senseval3.d000.s052.t003	To move the head up and down slightly, typically to indicate agreement or acknowledgment.
senseval3.d000.s053.t000	To direct one's gaze toward someone or something.
senseval3.d000.s053.t001	Appear or give the impression of being (a particular quality or feeling).
senseval3.d000.s054.t000	Of high quality; very good; excellent.
